%SOC start, 50.0
time,C_rate
758,-0.9545
759,-1.0624
760,-0.82848
761,-0.54727
762,-0.11383
763,0.0097686
764,-0.034706
765,-0.0041588
766,0
767,0.31312
768,0.65807
769,1.0041
770,1.1988
771,0.9097
772,0.59513
773,0.73643
774,0.84044
775,0.9562
776,0.95428
777,1.4224
778,1.3162
779,1.0078
780,0.64206
781,0.48977
782,0.74801
783,0.2524
784,0.2524
785,0.16671
786,-0.0050905
787,0.078157
788,0.24457
789,0.24457
790,0.16066
791,-0.25839
792,0.15381
793,0.23438
794,0.23438
795,0.23438
796,0.23438
797,0.23438
798,0.31592
799,0.56297
800,0.6558
801,1.5147
802,1.1567
803,1.2003
804,1.2444
805,0.31054
806,0.89759
807,0.71825
808,0.62844
809,0.22907
810,0.12638
811,0.32602
812,0.22521
813,0.022913
814,-0.17835
815,0.21392
816,-0.17868
817,-0.17881
818,0.2007
819,0.010367
820,0.19605
821,-0.55227
822,-0.26887
823,0.17824
824,0.26582
825,0.26582
826,0.26582
827,-0.00013692
828,0.17398
829,0.26039
830,0.085462
831,-0.089782
832,-0.34741
833,-0.17478
834,-0.338
835,-0.97264
836,-1.1508
837,-1.0049
838,-0.8069
839,-0.6338
840,0.1438
841,0.65614
842,0.62919
843,0.47016
844,0.54607
845,0.56291
846,0.57987
847,0.73454
848,0.9046
849,0.94556
850,0.67856
851,0.22326
852,0.38099
853,0.38462
854,0.38826
855,0.71451
856,0.48544
857,0.8252
858,0.33647
859,0.33808
860,0.3397
861,0.16876
862,-0.52013
863,-0.2579
864,-0.1733
865,-0.73248
866,-0.39831
867,-0.16629
868,0.41654
869,0.42262
870,0.50316
871,0.36134
872,0.59347
873,0.76219
874,0.70547
875,0.47899
876,0.73272
877,0.75109
878,0.42568
879,0.1698
880,0.16876
881,0.16773
882,-0.09035
883,-0.090845
884,0.15868
885,0.24071
886,-0.09136
887,-0.091692
888,-0.25325
889,0.53873
890,0.62842
891,0.47899
892,0.40302
893,0.074677
894,0.40302
895,0.24071
896,0.24071
897,-0.0083418
898,-0.0094866
899,-0.17307
900,-0.012346
901,0.14439
902,0.22204
903,0.22204
904,0.064899
905,0.14165
906,0.21842
907,-0.014621
908,-0.015533
909,0.2113
910,0.43901
911,0.13805
912,-0.015829
913,-0.47033
914,-0.60256
915,-0.71828
916,-0.22131
917,0.16741
918,0.23145
919,0.74749
920,0.71389
921,0.60269
922,0.33533
923,0.33875
924,0.55921
925,0.35083
926,0.2799
927,0.28135
928,0.35782
929,-0.016691
930,0.057199
931,0.20432
932,0.20432
933,-0.018047
934,0.054421
935,0.053338
936,0.19637
937,0.34046
938,0.56183
